ID,T,tau,time,N_total,N_bulk,N_surface,Volume,R_min,R_max,R_diff,R_avg,R_std,R_skew,R_kurt,S_100,S_111,S_110,S_311,Curve_1-10,Curve_11-20,Curve_21-30,Curve_31-40,Curve_41-50,Curve_51-60,Curve_61-70,Curve_71-80,Curve_81-90,Curve_91-100,Curve_101-110,Curve_111-120,Curve_121-130,Curve_131-140,Curve_141-150,Curve_151-160,Curve_161-170,Curve_171-180,Avg_total,Avg_bulk,Avg_surf,TCN_0,TCN_1,TCN_2,TCN_3,TCN_4,TCN_5,TCN_6,TCN_7,TCN_8,TCN_9,TCN_10,TCN_11,TCN_12,TCN_13,TCN_14,TCN_15,TCN_16,TCN_17,TCN_18,TCN_19,TCN_20,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,SCN_0,SCN_1,SCN_2,SCN_3,SCN_4,SCN_5,SCN_6,SCN_7,SCN_8,SCN_9,SCN_10,SCN_11,SCN_12,SCN_13,SCN_14,SCN_15,SCN_16,SCN_17,SCN_18,SCN_19,SCN_20,Avg_bonds,Std_bonds,Max_bonds,Min_bonds,N_bonds,FCC,HCP,ICOS,DECA,angle_avg,angle_std,q6q6_avg_total,q6q6_avg_bulk,q6q6_avg_surf,q6q6_T0,q6q6_T1,q6q6_T2,q6q6_T3,q6q6_T4,q6q6_T5,q6q6_T6,q6q6_T7,q6q6_T8,q6q6_T9,q6q6_T10,q6q6_T11,q6q6_T12,q6q6_T13,q6q6_T14,q6q6_T15,q6q6_T16,q6q6_T17,q6q6_T18,q6q6_T19,q6q6_T20,q6q6_T20+,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+,q6q6_S0,q6q6_S1,q6q6_S2,q6q6_S3,q6q6_S4,q6q6_S5,q6q6_S6,q6q6_S7,q6q6_S8,q6q6_S9,q6q6_S10,q6q6_S11,q6q6_S12,q6q6_S13,q6q6_S14,q6q6_S15,q6q6_S16,q6q6_S17,q6q6_S18,q6q6_S19,q6q6_S20,q6q6_S20+,Surf_defects_mol,Surf_micros_mol,Surf_facets_mol,Total_E,Formation_E
51,273,0.00015,1,856,475,381,1.26E-26,9.4774,16.5184,7.041,13.3159,1.3816,-0.3307,-0.4903,0,45,45,4,71,105,121,71,5,6,2,0,0,0,0,0,0,0,0,0,0,0,10.6542,12.4,8.4777,0,0,0,0,5,9,27,48,96,104,59,70,232,176,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,227,175,29,1,0,0,0,0,0,0,0,0,0,5,9,27,48,96,104,56,30,5,1,0,0,0,0,0,0,0,2.7804,0.2027,3.3981,2.13895,4560,38,28,0,1,95.3427,34.22662789,4.1192,5.0442,2.9659,177,112,87,76,64,52,53,49,45,53,21,22,40,4,1,0,0,0,0,0,0,0,79,52,46,35,32,22,28,31,29,36,18,22,40,4,1,0,0,0,0,0,0,0,98,60,41,41,32,30,25,18,16,17,3,0,0,0,0,0,0,0,0,0,0,0,0,106.83,343.295,-2996.1365,350.8235
52,273,0.00015,2,862,487,375,1.27E-26,10.2406,16.0797,5.8391,13.3294,1.2018,-0.3807,-0.3197,0,54,53,9,82,89,129,62,6,7,0,0,0,0,0,0,0,0,0,0,0,0,10.7378,12.4333,8.536,0,0,0,0,3,10,16,64,74,118,55,60,243,197,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,238,197,21,1,0,0,0,0,0,0,0,0,0,3,10,16,64,74,118,54,31,5,0,0,0,0,0,0,0,0,2.77699,0.19713,3.39991,2.30777,4628,43,42,0,2,95.3557,34.24169355,4.9374,6.1828,3.32,163,107,72,52,53,66,39,44,46,57,30,36,75,20,2,0,0,0,0,0,0,0,68,38,42,24,26,37,24,22,30,22,23,34,75,20,2,0,0,0,0,0,0,0,95,69,30,28,27,29,15,22,16,35,7,2,0,0,0,0,0,0,0,0,0,0,0,110.854,330.177,-3036.4386,333.9814
61,273,0.000175,1,699,364,335,1.03E-26,8.7678,18.3758,9.608,12.531,1.6637,0.424,0.3917,0,19,38,0,46,103,120,61,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5551,12.4863,8.4567,0,0,0,0,1,4,38,39,88,78,64,54,157,137,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,154,136,37,2,0,0,0,0,0,0,0,0,0,1,4,38,39,88,78,60,23,3,1,0,0,0,0,0,0,0,2.78276,0.20627,3.39519,2.32455,3689,4,2,1,2,94.8633,34.117972,1.3104,1.4176,1.194,331,167,82,43,24,13,12,12,5,5,3,0,2,0,0,0,0,0,0,0,0,0,165,94,45,16,11,6,8,7,4,3,3,0,2,0,0,0,0,0,0,0,0,0,166,73,37,27,13,7,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120.535,366.014,-2427.131,305.959
62,273,0.000175,2,763,390,373,1.12E-26,7.5654,23.159,15.5935,13.1794,2.5383,1.2198,2.7026,0,26,44,5,48,118,136,66,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10.4404,12.3949,8.3968,0,0,0,0,0,2,49,54,82,106,54,67,182,129,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,39,178,129,34,4,0,0,0,0,0,0,0,0,0,0,2,49,54,81,104,51,28,4,0,0,0,0,0,0,0,0,2.77993,0.20249,3.39983,2.35769,3983,5,8,0,2,94.8853,33.96544927,1.3447,1.4821,1.2011,361,186,84,40,24,23,21,7,4,5,2,3,3,0,0,0,0,0,0,0,0,0,167,102,50,25,10,10,10,4,2,2,2,3,3,0,0,0,0,0,0,0,0,0,194,84,34,15,14,13,11,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,141.397,355.512,-2643.6397,339.6903
71,273,0.0002,1,660,339,321,9.70E-27,8.4531,20.1882,11.7351,12.2529,1.6707,0.9568,3.1624,1,19,35,4,37,112,98,51,11,10,2,0,0,0,0,0,0,0,0,0,0,0,10.4424,12.3864,8.3894,0,0,0,1,3,7,33,42,74,83,55,55,166,114,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,161,114,23,4,0,0,0,0,0,0,0,0,1,3,7,33,42,74,83,51,22,5,0,0,0,0,0,0,0,0,2.77905,0.20422,3.39845,2.29,3446,3,15,0,3,94.8974,33.9977863,1.2727,1.5664,0.9626,329,161,61,32,24,15,13,10,6,2,3,2,2,0,0,0,0,0,0,0,0,0,140,91,43,18,13,7,8,8,3,1,3,2,2,0,0,0,0,0,0,0,0,0,189,70,18,14,11,8,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.557,132.327,358.063,-2280.3584,300.2416
72,273,0.0002,2,670,353,317,9.85E-27,8.5546,15.801,7.2464,12.1812,1.282,-0.1098,0.16,0,28,35,5,43,103,121,43,6,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5433,12.3513,8.53,0,0,0,0,2,2,32,38,75,86,57,59,180,113,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,176,112,24,2,0,0,0,0,0,0,0,0,0,2,2,32,38,75,86,54,23,4,1,0,0,0,0,0,0,0,2.77578,0.19989,3.39827,2.35541,3532,4,12,1,6,95.0172,34.03641732,1.6746,1.9773,1.3375,282,155,68,52,29,25,25,13,8,6,3,3,1,0,0,0,0,0,0,0,0,0,133,87,32,26,17,18,14,6,7,6,3,3,1,0,0,0,0,0,0,0,0,0,149,68,36,26,12,7,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.483,364.987,-2335.0873,284.6127
81,273,0.000225,1,576,291,285,8.47E-27,8.0023,15.2641,7.2619,11.6443,1.5454,0.047,-0.6699,0,27,37,3,48,88,95,40,3,11,0,0,0,0,0,0,0,0,0,0,0,0,10.4236,12.4055,8.4,0,0,0,0,5,4,28,37,68,74,49,50,132,105,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,127,105,22,2,0,0,0,0,0,0,0,0,0,5,4,28,37,68,74,47,17,5,0,0,0,0,0,0,0,0,2.77644,0.20506,3.39965,2.09628,3002,6,6,0,0,94.8102,34.08136406,1.9618,2.1237,1.7965,221,111,64,57,32,35,24,9,9,8,2,2,2,0,0,0,0,0,0,0,0,0,106,56,33,33,14,16,11,5,5,6,2,2,2,0,0,0,0,0,0,0,0,0,115,55,31,24,18,19,13,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,132.003,367.468,-1988.8942,263.2658
82,273,0.000225,2,580,297,283,8.52E-27,7.7713,14.9397,7.1684,11.5939,1.4146,-0.115,-0.429,0,22,31,1,38,95,102,44,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5621,12.5556,8.47,0,0,0,0,0,3,28,36,76,74,44,37,124,132,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,119,132,24,2,0,0,0,0,0,0,0,0,0,0,3,28,36,76,74,43,18,5,0,0,0,0,0,0,0,0,2.77525,0.20032,3.39846,2.35,3063,3,4,0,4,94.8493,34.09988254,1.9552,2.2054,1.6926,183,133,93,63,34,27,17,10,8,4,5,3,0,0,0,0,0,0,0,0,0,0,87,71,43,29,18,16,11,5,6,3,5,3,0,0,0,0,0,0,0,0,0,0,96,62,50,34,16,11,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118.692,373.792,-2017.4519,250.3481
83,273,0.000225,3,817,431,386,1.20E-26,8.5076,17.6364,9.1288,13.1801,1.9393,-0.0027,-0.6862,6,41,54,26,55,42,161,105,17,5,1,0,0,0,0,0,0,0,0,0,0,0,10.2326,12.0534,8.1995,0,0,0,1,4,19,41,66,75,87,63,47,376,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,376,36,2,0,0,0,0,0,0,0,0,0,1,4,19,41,66,75,87,63,30,0,0,0,0,0,0,0,0,0,2.74395,0.13537,3.39924,2.27264,4180,171,164,0,22,95.7751,34.54503611,8.049,10.0325,5.8342,23,23,33,32,36,53,60,68,104,77,27,33,236,12,0,0,0,0,0,0,0,0,0,6,11,6,11,15,9,9,58,17,14,27,236,12,0,0,0,0,0,0,0,0,23,17,22,26,25,38,51,59,46,60,13,6,0,0,0,0,0,0,0,0,0,0,1.258,163.492,320.696,-2875.1298,319.3402
91,273,0.00025,1,432,195,237,6.35E-27,5.7455,13.8399,8.0944,10.4714,1.702,-0.3744,-0.3391,0,13,40,1,25,80,76,47,5,4,0,0,0,0,0,0,0,0,0,0,0,0,10.287,12.5333,8.4388,0,0,0,0,1,4,22,34,56,64,40,30,82,76,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,79,75,21,2,0,0,0,0,0,0,0,0,0,1,4,22,34,56,64,39,13,3,1,0,0,0,0,0,0,0,2.77223,0.20635,3.39784,2.36445,2222,1,4,0,1,94.4617,34.0431628,1.4861,1.841,1.1941,199,104,34,30,24,14,7,5,6,4,2,3,0,0,0,0,0,0,0,0,0,0,81,45,20,12,9,8,4,5,4,2,2,3,0,0,0,0,0,0,0,0,0,0,118,59,14,18,15,6,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,145.085,409.091,-1479.3334,209.7866
